,speech
8903," Tiene la palabra hasta por cinco minutos, para presentar dos iniciativas en una sola intervención la diputada Ana Guadalupe Perea Santos. Primera iniciativa, con proyecto de decreto que reforma los artículos 94 y 127 de la Constitución Política de los Estados Unidos Mexicanos, suscrita por la diputada Cynthia Gissel García Soberanes, del Grupo Parlamentario de Encuentro Social. Y una iniciativa con proyecto
de decreto que reforma, adiciona y deroga diversas disposiciones de la Ley General para Prevenir, Sancionar y Erradicar los Delitos en Materia de Trata de Personas y para la Protección y Asistencia a las Víctimas de estos Delitos, suscrita por integrantes del Grupo Parlamentario del Partido Encuentro Social."
8904," Buenas tardes. Honorable asamblea, con el permiso de la Presidencia. En Encuentro Social nos hemos convertido en la fuerza política que defiende legítimamente la dignidad de las personas humanas y la economía de México. En esta ocasión, volvemos a esta tribuna para entregar a la sociedad mexicana propuestas de soluciones justas a los problemas surgidos de la realidad histórica; la trata de personas y la desigualdad salarial en México."
8905,"Se recibió iniciativa que reforma el artículo 94 y 127 de la Constitución de los Estados Unidos Mexicanos, suscrita por la diputada Cynthia Gissel García Soberanes, del Grupo Parlamentario del PES. Túrnese a la Comisión de Puntos Constitucionales de la Cámara de Diputados."
8906," El siguiente punto del orden del día es la discusión de los dictámenes de la Primera Comisión. Se informa a la asamblea que se votarán en conjunto y en forma económica aquellos en los que no se han registrado oradores, el 1, el 2, el 4, el 5, el 8, el 9, el 11, el 12 y el 13. Enseguida se procederá a las intervenciones en los que previamente hayan reservado los grupos parlamentarios; el 3, el 6, el 7 y el 10."
8907," Por instrucciones de la Presidencia, y en votación económica se pregunta a la asamblea si se encuentra lo suficientemente discutido. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señor presidente, mayoría por la afirmativa."
8908," Suficientemente discutido. Consulte la secretaría a la asamblea, en votación económica, si se aprueba en conjunto."
8909," En votación económica se pregunta si se aprueba. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señor presidente, mayoría por la afirmativa."
8910, Aprobado y comuníquese. 
8911," El siguiente punto del orden del día es la discusión del dictamen de la Primera Comisión con punto de acuerdo por el que se exhorta a los Congresos de las entidades federativas, para que a la mayor brevedad aprueben el proyecto de decreto por el que se reforman y adicionan los artículos 107 y 123 de la Constitución Política de los Estados Unidos Mexicanos, en materia de justicia laboral."
8912,"Con su permiso, presidente. Diputadas y diputados, en México hemos avanzado de manera importante en cuanto a la implementación de un sistema que garantice cada vez más la impartición de justicia cotidiana."
8913," Muchas gracias, señor diputado. Tiene la palabra hasta por cinco minutos, el diputado Mario Uriel Juárez Rodríguez."
8914," Buenas tardes, legisladores, legisladoras del Senado y de la Cámara de Diputados. Una de las demandas más sentidas de los trabajadores en las últimas tres décadas ha sido el acceso a una justicia laboral objetiva, imparcial y expedita, tanto en los juicios individuales como en los colectivos."
8915," Gracias, diputado Ariel Juárez Rodríguez. Consulte la Secretaría a la asamblea si se encuentra suficientemente discutido el dictamen de punto de acuerdo."
8916,"senador Luis Humberto Fernández Fuentes: Por instrucciones de la Presidencia y en votación económica, consulto a la asamblea si el tema se encuentra suficientemente discutido. Los y las legisladores que estén por la afirmativa favor de manifestarlo (votación). Quienes estén por la negativa también favor de manifestarlo (votación). Señor presidente, aprobado."
8917," Suficientemente discutido. Consulte la Secretaría a la asamblea, en votación económica, si se aprueba."
8918,"senador Luis Humberto Fernández Fuentes: En votación económica, se pregunta a la asamblea si es de aprobarse el punto en comento. Las y los legisladores que estén por la afirmativa sírvanse manifestarlo (votación). Quienes estén por la negativa favor de manifestarlo (votación). Aprobado por mayoría, señor presidente."
8919, Aprobado. Comuníquese.
8920," El siguiente punto del orden del día es la discusión del dictamen de la Primera Comisión, con punto de acuerdo por el que se exhorta, respetuosamente, a la Comisión de Derechos Humanos del estado de Jalisco, a remitir un informe sobre los hechos ocurridos durante la manifestación del 2 de enero del año en curso, en la ciudad de Guadalajara."
8921,"Gracias, presidente. Compañeras, compañeros, la libertad de expresión se manifiesta, no sólo en la calle, sino también con sus voces. Ese es un derecho fundamental que no se puede hipotecar y que se debe respetar en todo momento."
8922," Gracias, diputada Candelaria Ochoa. Consulte la Secretaría a la asamblea si el dictamen se encuentra suficientemente discutido."
8923,"senador Luis Humberto Fernández Fuentes: Consulto a la asamblea, en votación económica, si el dictamen en comento se encuentra suficientemente discutido. Los legisladores que lo consideren suficientemente discutido, favor de manifestarlo (votación). Quienes estén por la negativa, asimismo, favor de manifestarlo (votación). Suficientemente discutido, señor presidente."
8924," Suficientemente discutido. Consulte la Secretaría a la asamblea, en votación económica, si se aprueba el dictamen."
8925,"senador Luis Humberto Fernández Fuentes: Consulto a la asamblea, en votación económica, si es de aprobarse el dictamen en comento. Las y los legisladores que estén por la afirmativa favor de manifestarlo (votación). Las y los legisladores que estén por la negativa favor de manifestarlo (votación). Señor presidente, aprobado. La mayoría por la afirmativa."
8926, Aprobado. Comuníquese.
8927," Con el permiso de la Presidencia. Compañeras y compañeros legisladores, en el Grupo Parlamentario del PRI estamos convencidos de que la prevención es una de las herramientas más importantes y efectivas para salvaguardar el patrimonio, el bienestar y la integridad de la población."
8928,"diputada Cristina Ismene Gaytán Hernández: Gracias, senador. Consulte la Secretaría a la asamblea si se encuentra suficientemente discutido."
8929," Por instrucciones de la Presidencia y en votación económica, se pregunta a la asamblea si se le considera lo suficientemente discutido. Las legisladoras y los legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y los legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Ciudadana presidenta, mayoría por la afirmativa."
8930,"diputada Cristina Ismene Gaytán Hernández: Suficientemente discutido. Consulte la Secretaría a la asamblea, en votación económica, si se aprueba."
8931," En votación económica, se pregunta a la asamblea si se aprueba. Las legisladoras y los legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y los legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Señora presidenta, mayoría por la afirmativa."
8932,diputada Cristina Ismene Gaytán Hernández: Aprobado. Comuníquese.
8933,"diputada Cristina Ismene Gaytán Hernández: El siguiente punto del orden del día es la discusión del dictamen de la Primera Comisión, con punto de acuerdo por el que se exhorta a las Legislaturas locales analicen la conveniencia de establecer un programa especial para la atención de ciudades heroicas y se cree la red nacional de ciudades heroicas de México."
8934,"Con su permiso, diputada presidenta. Compañeras y compañeros legisladores."
8935,"Con su permiso, diputada presidenta. Compañeras y compañeros legisladores. México es un país de enorme riqueza cultural y natural. Cuenta con un amplio patrimonio tangible e intangible. Las diferencias étnicas, sociales e históricas han dado origen en buena medida a nuestra composición gobi-étnica y pluricultural. El nuestro encuentra en la diversidad su mayor fortaleza."
8936,"diputada Cristina Ismene Gaytán Hernández: Gracias, diputado. Para hacer uso de la palabra en pro, el senador Ernesto Gándara, también del grupo parlamentario del PRI, hasta por cinco minutos."
8937,"Con su permiso, señora presidenta, compañeras y compañeros legisladores. La verdad uniéndome a los comentarios, a las reflexiones y a la postura del compañero diputado que me antecedió en el uso de la palabra, quisiera hacer algunas reflexiones de este tema tan importante en la vida cívica, histórica, cultural de nuestro país."
8938,diputada Cristina Ismene Gaytán Hernández: Gracias senador Gándara. Consulte la Secretaría a la asamblea si se encuentra suficientemente discutido.
8939," En votación económica se pregunta si se aprueba. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Ciudadana presidenta, mayoría por la afirmativa."
8940,"diputada Cristina Ismene Gaytán Hernández: Consulte la Secretaría a la asamblea, en votación económica, si se aprueba."
8941," En votación económica, se pregunta a la asamblea si se aprueba. Las legisladoras y legisladores que estén por la afirmativa sírvanse manifestarlo levantando su mano (votación). Las legisladoras y legisladores que estén por la negativa sírvanse manifestarlo levantando su mano (votación). Ciudadana presidenta, mayoría por la afirmativa."
8942,diputada Cristina Ismene Gaytán Hernández: Aprobado. Comuníquese.
8943,"diputada Cristina Ismene Gaytán Hernández: El siguiente punto del orden del día es la discusión de los dictámenes de la Segunda Comisión, a cargo de la senadora Luz María Beristain Navarrete, presidenta de esta comisión, para referirse a los dictámenes de la Segunda Comisión en conjunto. Adelante, senadora. Tiene la palabra hasta por cinco minutos."
8944,"Buenas tardes, compañeras legisladoras, legisladores. Con su venia, señora presidenta. El día de hoy, a nombre de la Segunda Comisión de Relaciones Exteriores, Defensa Nacional y Educación Pública, presento los siguientes dictámenes."
